code,name,market,sector,status,priceStatus,financialStatus,metricSource,action,lastClose,priceJudgement,financialError
7709,クボテック,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,57.0,,
7711,助川電気工業,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,4905.0,,
7713,シグマ光機,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,2245.0,,
7715,長野計器,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,4595.0,,
7716,ナカニシ,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2989.0,,
7717,ブイ・テクノロジー,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,9380.0,,
7719,東京衡機,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,445.0,,
7721,東京計器,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,6150.0,,
7722,国際計測器,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,748.0,,
7723,愛知時計電機,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2980.0,,
7725,インターアクション,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1811.0,,
7726,黒田精工,スタンダード（内国株式）,機械,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1445.0,,
7727,オーバル,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,781.0,,
7729,東京精密,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,19320.0,,
7730,マニー,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/02,ランキング判定に利用,1704.0,,
7731,ニコン,プライム（内国株式）,精密機器,補完チェック完了,月次価格取得済み,財務補完済み,completionEstimate,補完データでチャートと広域判定に利用,2190.5,,BPS、純資産、株数推定が不足
7733,オリンパス,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1684.0,,
7734,理研計器,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3645.0,,
7735,ＳＣＲＥＥＮホールディングス,プライム（内国株式）,電気機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,16535.0,,
7740,タムロン,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,1198.0,,
7741,ＨＯＹＡ,プライム（内国株式）,精密機器,補完チェック完了,月次価格取得済み,財務補完済み,completionEstimate,補完データでチャートと広域判定に利用,25575.0,,BPS、純資産、株数推定が不足
7743,シード,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,502.0,,
7744,ノーリツ鋼機,プライム（内国株式）,精密機器,補完チェック完了,月次価格取得済み,財務補完済み,completionEstimate,補完データでチャートと広域判定に利用,2078.0,,BPS、純資産、株数推定が不足
7745,Ａ＆Ｄホロンホールディングス,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2882.0,,
7746,岡本硝子,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,850.0,,
7747,朝日インテック,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3725.0,,
7749,メディキット,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2805.0,,
7751,キヤノン,プライム（内国株式）,電気機器,補完チェック完了,月次価格取得済み,財務補完済み,completionEstimate,補完データでチャートと広域判定に利用,4258.0,,BPS、純資産、株数推定が不足
7752,リコー,プライム（内国株式）,電気機器,補完チェック完了,月次価格取得済み,財務補完済み,completionEstimate,補完データでチャートと広域判定に利用,1414.0,,BPS、純資産、株数推定が不足
7760,ＩＭＶ,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2397.0,,
7762,シチズン時計,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,2511.0,,
7769,リズム,プライム（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,3725.0,,
7771,日本精密,スタンダード（内国株式）,精密機器,自動チェック完了,月次価格取得済み,財務取得済み,irbank:2026/03,ランキング判定に利用,317.0,,
