code,name,market,sector,price,bps,eps,cash,securities,investmentSecurities,interestDebt,netAssets,rentalBook,rentalMarket,shares,treasuryShares,period,sourceUrl,status,error,fetchedAt
477A,スタートライン,グロース（内国株式）,サービス業,568,455.44,75.04,2327.27,0,0,4542.54,1881.41,0,0,4130972,0,2026/03,https://irbank.net/477A/results,取得成功,,2026-06-27T01:00:25.722Z
4783,ＮＣＤ,スタンダード（内国株式）,情報・通信業,2381,1046.78,226.26,7723.99,0,0,799.86,8549.72,0,0,8167638,0,2026/03,https://irbank.net/4783/results,取得成功,,2026-06-27T01:00:25.702Z
4784,ＧＭＯインターネット,プライム（内国株式）,サービス業,454,49.68,21.51,13829,0,0,5504,14069,0,0,283192432,0,2026/03,https://irbank.net/4784/results,取得成功,,2026-06-27T01:00:25.756Z
478A,フツパー,グロース（内国株式）,情報・通信業,701,210.57,34.37,1895,0,0,58,2070.51,0,0,9832882,0,2026/03,https://irbank.net/478A/results,取得成功,,2026-06-27T01:00:25.814Z
4792,山田コンサルティンググループ,プライム（内国株式）,サービス業,1647,1034.69,151,10249.05,0,0,4896,23920.38,0,0,23118403,0,2026/03,https://irbank.net/4792/results,取得成功,,2026-06-27T01:00:25.784Z
479A,ＰＲＯＮＩ,グロース（内国株式）,情報・通信業,1249,404.18,207.44,2457.71,0,0,1052.89,1631.81,0,0,4037335,0,2026/03,https://irbank.net/479A/results,取得成功,,2026-06-27T01:00:25.812Z
4800,オリコン,スタンダード（内国株式）,情報・通信業,1330,452.08,81.79,3882.37,0,0,170,5803.61,0,0,12837573,0,2026/03,https://irbank.net/4800/results,取得成功,,2026-06-27T01:00:25.795Z
4801,セントラルスポーツ,プライム（内国株式）,サービス業,2350,2375.85,131.24,6359,0,0,658,26612,0,0,11201044,0,2026/03,https://irbank.net/4801/results,取得成功,,2026-06-27T01:00:25.819Z
4809,パラカ,プライム（内国株式）,不動産業,2015,2077.2,207.11,3641,0,0,24215,20912,0,0,10067398,0,2026/03,https://irbank.net/4809/results,取得成功,,2026-06-27T01:00:25.818Z
480A,リブ・コンサルティング,グロース（内国株式）,サービス業,944,565.58,108.46,2392.19,0,0,0,3336.88,0,0,5899926,0,2026/03,https://irbank.net/480A/results,取得成功,,2026-06-27T01:00:25.880Z
4811,ドリーム・アーツ,グロース（内国株式）,情報・通信業,736,251.44,53.04,4122.72,0,0,0,2916.24,0,0,11598155,0,2026/03,https://irbank.net/4811/results,取得成功,,2026-06-27T01:00:26.382Z
4812,電通総研,プライム（内国株式）,情報・通信業,2017,516.99,92.22,69419,0,0,0,100159,0,0,193734888,0,2026/03,https://irbank.net/4812/results,取得成功,,2026-06-27T01:00:25.917Z
4813,ＡＣＣＥＳＳ,プライム（内国株式）,情報・通信業,335,180.25,16.26,5171.25,0,0,0,6785.06,0,0,37642497,0,2026/04,https://irbank.net/4813/results,取得成功,,2026-06-27T01:00:25.976Z
4814,ネクストウェア,スタンダード（内国株式）,情報・通信業,145,59.82,2.36,289.44,0,0,0,760,0,0,12704781,0,2026/03,https://irbank.net/4814/results,取得成功,,2026-06-27T01:00:25.987Z
4816,東映アニメーション,スタンダード（内国株式）,情報・通信業,2309,837.14,88.59,76406,0,0,0,171039,0,0,204313496,0,2026/03,https://irbank.net/4816/results,取得成功,,2026-06-27T01:00:25.989Z
4819,デジタルガレージ,プライム（内国株式）,情報・通信業,1753,1645.8,27.96,40469,0,0,62053,77696,0,0,47208652,0,2026/03,https://irbank.net/4819/results,取得成功,,2026-06-27T01:00:25.936Z
4820,イーエムシステムズ,プライム（内国株式）,情報・通信業,489,275.57,31.68,7847,0,0,582,20432,0,0,74144500,0,2026/03,https://irbank.net/4820/results,取得成功,,2026-06-27T01:00:25.979Z
4825,ウェザーニューズ,プライム（内国株式）,情報・通信業,1937,513.2,78.81,16970.43,0,0,0,21545.58,0,0,41982814,0,2026/02,https://irbank.net/4825/results,取得成功,,2026-06-27T01:00:26.092Z
4826,ＣＩＪ,プライム（内国株式）,情報・通信業,496,263.85,29.77,8214.86,0,0,647.48,14516.44,0,0,55017775,0,2026/03,https://irbank.net/4826/results,取得成功,,2026-06-27T01:00:26.126Z
