hiddenScore,score,qualityRank,code,name,market,sector,status,judgement,signal,strategy,priceScore,winRate,averageReturn,maxDrawdown,periodReturn,trades,timingAction,assistAction,qualityNote,comment,nextCheck,caution,reason
121.6,121.6,121.6,4972,"Soken Chemical & Engineering Co.,Ltd.",Standard Market(Domestic),Chemicals,未発掘の監視候補,良さそう,待ち,高値更新,59.9,100,9.9,-5.7,125.7,4,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
121.4,121.4,121.4,9502,"Chubu Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,未発掘の監視候補,良さそう,待ち,上昇中押し目,59.2,100,8.7,-4.3,66,4,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
121.3,121.3,121.3,7090,Ligua Inc.,Growth Market(Domestic),Services,未発掘の監視候補,良さそう,待ち,安値反転,62.1,100,13.2,-4.4,-4.2,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
121.1,121.1,121.1,9507,"Shikoku Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,未発掘の監視候補,良さそう,安値反転候補,上昇中押し目,65.9,100,10.5,-5.1,24.2,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
120.9,120.9,120.9,6248,"Yokota Manufacturing Co., Ltd.",Standard Market(Domestic),Machinery,未発掘の監視候補,良さそう,待ち,安値反転,60.1,100,9.7,-0.3,15.5,2,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,安値反転の検証が良い
120.8,120.8,120.8,9733,Nagase Brothers Inc.,Standard Market(Domestic),Services,未発掘の監視候補,良さそう,待ち,高値更新,59.7,100,9.5,-2.8,18.7,3,様子見,様子見,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
120.7,120.7,120.7,7203,TOYOTA MOTOR CORPORATION,Prime Market (Domestic),Transportation Equipment,未発掘の監視候補,良さそう,待ち,上昇中押し目,60.4,100,10.5,-1.3,4.7,2,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
120.6,120.6,120.6,2120,"LIFULL Co.,Ltd.",Prime Market (Domestic),Services,様子見候補,中立,待ち,安値反転,76.3,100,28.1,0,6.7,1,様子見,様子見,検証回数少なめ,価格検証は良いものの回数が少ないため、まず財務と出来高を確認します,財務、材料、出来高,検証回数少なめ,安値反転の検証が良い
120.6,120.6,120.6,7345,Ai Partners Financial Inc.,Growth Market(Domestic),Other Financing Business,未発掘の監視候補,良さそう,待ち,高値更新,58.2,75,11.9,-3.2,66.4,4,様子見,様子見,財務確認前,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,高値更新型で勢いがある
120.4,120.4,120.4,4629,"DAISHIN CHEMICAL CO.,LTD.",Standard Market(Domestic),Chemicals,未発掘の監視候補,良さそう,待ち,上昇中押し目,60,100,10.6,-4.3,34.6,3,監視候補,監視候補,負けにくさ良好,既存候補外で価格検証に残ったため、監視候補として確認します,財務、材料、出来高,なし,価格検証で候補圏に残った
