rankSeed,code,name,market,sector,points,firstDate,lastDate,lastClose,periodReturn,bestStrategy,trades,winRate,averageReturn,maxDrawdown,latestSignal,priceScore,judgement,error
3300,8929,"Aoyama Zaisan Networks Company,Limited",Standard Market(Domestic),Real Estate,254,2025-06-09,2026-06-23,1273,-30.2,安値反転,2,50,-4.1,-8.8,待ち,4.9,見送り寄り,
3566,9605,"TOEI COMPANY,LTD.",Prime Market (Domestic),Information & Communication,254,2025-06-09,2026-06-23,5690,18.3,上昇中押し目,5,20,-3.2,-8.9,待ち,4.9,見送り寄り,
204,2121,"MIXI,Inc.",Prime Market (Domestic),Information & Communication,254,2025-06-09,2026-06-23,2602,-21.4,安値反転,2,50,-4,-8.8,待ち,4.8,見送り寄り,
519,2923,"SATO FOODS CO.,LTD.",Standard Market(Domestic),Foods,254,2025-06-09,2026-06-23,7600,-1.8,安値反転,4,25,-2.9,-8.4,待ち,4.8,見送り寄り,
936,3765,"GungHo Online Entertainment,Inc.",Prime Market (Domestic),Information & Communication,254,2025-06-09,2026-06-23,2183,-19.4,安値反転,3,33.3,-3,-8.2,待ち,4.8,見送り寄り,
2811,7624,"Naito & Co.,Ltd.",Standard Market(Domestic),Wholesale Trade,254,2025-06-09,2026-06-23,136,5.4,安値反転,2,0,-2.2,-5.8,安値反転候補,4.8,見送り寄り,
565,302A,"b-style holdings,Inc.",Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,540,-13.9,安値反転,2,50,-4.2,-8.6,待ち,4.7,見送り寄り,
3348,9064,"YAMATO HOLDINGS CO.,LTD.",Prime Market (Domestic),Land Transportation,254,2025-06-09,2026-06-23,1775,-11.6,安値反転,2,50,-4.2,-8.7,待ち,4.7,見送り寄り,
2337,6702,Fujitsu Limited,Prime Market (Domestic),Electric Appliances,254,2025-06-09,2026-06-23,3162,-8.9,高値更新,2,50,-2.7,-11.2,待ち,4.6,見送り寄り,
2368,6770,"ALPS ALPINE CO.,LTD.",Prime Market (Domestic),Electric Appliances,254,2025-06-09,2026-06-23,2124.5,49.1,上昇中押し目,5,20,-2.8,-9.8,待ち,4.6,見送り寄り,
2620,7242,KYB Corporation,Prime Market (Domestic),Transportation Equipment,254,2025-06-09,2026-06-23,3830,23.3,上昇中押し目,3,33.3,-2,-10.1,待ち,4.6,見送り寄り,
3397,9219,GiXo Ltd.,Growth Market(Domestic),Services,254,2025-06-09,2026-06-23,910,0,安値反転,3,0,-2.9,-7.2,安値反転候補,4.6,見送り寄り,
215,2148,ITmedia Inc.,Prime Market (Domestic),Services,254,2025-06-09,2026-06-23,1120,-31.2,安値反転,3,33.3,-0.5,-12.7,待ち,4.5,見送り寄り,
